name,molweight,critical temperature (K),acentric factor,boiling point (K)
"1,1,3-trichloropropane",147.4308,635.01,0.317,418.7
"1,1,3-trifluoro-2-methylpropane",112.0947896,429.75,0.33,287.85
"1,1,3-trifluorobutane",112.0947896,429.75,0.33,287.85
"1,1,3-trifluoropropane",98.0679096,401.66,0.315,265.41
"1,1,3-triiodo-2-methylpropane",435.81299,863.14,0.301,569.46
"1,1,3-triiodobutane",435.81299,863.14,0.301,569.46
"1,1,3-triiodopropane",421.78611,841.02,0.286,547.02
"1,1,3-trimethylcyclohexane",126.24192,612.06,0.267,409.78
"1,1,3-trimethylcyclopentane",112.21504,571.3,0.252,378.04
"1,1,4-tribromobutane",294.81158,718.77,0.565,488.96
"1,1,4-trichlorobutane",161.45768,623.15,0.362,420
"1,1,4-trifluorobutane",112.0947896,426.87,0.36,288.29
"1,1,4-triiodobutane",435.81299,856.37,0.331,569.9
"1,1,4-trimethylcyclohexane",126.24192,609.63,0.267,408.15
"1,1,cis-2,cis-3-tetramethylcyclopentane",126.24192,609.74,0.271,411.15
"1,1,cis-2,cis-4-tetramethylcyclopentane",126.24192,597.88,0.271,403.15
"1,1,cis-2,trans-3-tetramethylcyclopentane",126.24192,597.88,0.271,403.15
"1,1,cis-2,trans-4-tetramethylcyclopentane",126.24192,597.88,0.271,403.15
"1,1,cis-3,cis-4-tetramethylcyclopentane",126.24192,602.33,0.271,406.15
"1,1,cis-3,trans-4-tetramethylcyclopentane",126.24192,585.42,0.271,394.75
"1,1-bis(ethylthio)ethane",150.30916,673,0.37,457.15
"1,1-dibromo-2,2-dimethylpropane",229.9424,665.55,0.48,453.15
"1,1-dibromo-2-methylbutane",229.9424,659.19,0.448,445.24
"1,1-dibromo-2-methylpropane",215.91552,635.76,0.403,420.15
"1,1-dibromo-3-methylbutane",229.9424,659.19,0.448,445.24
"1,1-dibromobutane",215.91552,646.82,0.435,431.15
"1,1-dibromodecane",300.0768,741.82,0.701,550.15
"1,1-dibromodocosane",468.39936,868.14,0.866,707.15
"1,1-dibromododecane",328.13056,766.37,0.779,583.15
"1,1-dibromoeicosane",440.3456,847.57,0.905,686.15
"1,1-dibromoethane",187.86176,628,0.125,381.15
"1,1-dibromoheneicosane",454.37248,858.13,0.889,697.15
"1,1-dibromoheptadecane",398.26496,818.59,0.904,652.15
"1,1-dibromoheptane",257.99616,700.05,0.571,495.15
